Title,Author,URL,Subject,LoC Class,Downloads
The Art of War,active 6th century B.C. Sunzi (197),https://www.gutenberg.org/ebooks/132,Military art and science -- Early works to 1800,U: Military science,4902 downloads in the last 30 days.
Dubliners,James Joyce (192),https://www.gutenberg.org/ebooks/2814,Short stories,PR: Language and Literatures: English literature,9073 downloads in the last 30 days.
Notes from the Underground,Fyodor Dostoyevsky (192),https://www.gutenberg.org/ebooks/600,Political fiction,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature",6263 downloads in the last 30 days.
Siddhartha,Hermann Hesse (190),https://www.gutenberg.org/ebooks/2500,Gautama Buddha -- Fiction,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",7096 downloads in the last 30 days.
The Time Machine,H. G.  Wells (190),https://www.gutenberg.org/ebooks/35,Science fiction,PR: Language and Literatures: English literature,7341 downloads in the last 30 days.
Sense and Sensibility,Jane Austen (189),https://www.gutenberg.org/ebooks/161,England -- Social life and customs -- 19th century -- Fiction,PR: Language and Literatures: English literature,7294 downloads in the last 30 days.
The divine comedy,Dante Alighieri (188),https://www.gutenberg.org/ebooks/8800,"Epic poetry, Italian -- Translations into English","PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",8155 downloads in the last 30 days.
The Hound of the Baskervilles,Arthur Conan Doyle (184),https://www.gutenberg.org/ebooks/2852,"Holmes, Sherlock (Fictitious character) -- Fiction",PR: Language and Literatures: English literature,8870 downloads in the last 30 days.
The Social Cancer: A Complete English Version of Noli Me Tangere,José Rizal (182),https://www.gutenberg.org/ebooks/6737,Historical fiction,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",5442 downloads in the last 30 days.
"The Rámáyan of Válmíki, translated into English verse",Valmiki (180),https://www.gutenberg.org/ebooks/24869,Folklore -- India,PK: Language and Literatures: Indo-Iranian literatures,5590 downloads in the last 30 days.
David Copperfield,Charles Dickens (179),https://www.gutenberg.org/ebooks/766,Orphans -- Fiction,PR: Language and Literatures: English literature,5352 downloads in the last 30 days.
